date,composite,global,semi,breadth,liq,euphoria
2026-08-13,61.2,60.2,63.0,67.0,43.0,69.9
2026-08-14,61.1,60.9,63.3,69.1,40.1,68.1
2026-08-18,60.4,60.8,60.3,69.4,42.2,66.0
2026-08-19,60.0,60.1,57.9,66.6,47.4,67.1
2026-08-20,60.0,58.4,56.1,65.0,53.8,68.3
2026-08-21,59.2,56.4,54.8,61.0,56.3,71.8
2026-08-24,57.3,54.0,53.6,57.7,51.7,74.1
2026-08-25,55.0,54.6,42.7,57.2,50.7,77.9
2026-08-26,54.2,53.7,41.7,59.3,44.5,78.7
2026-08-27,53.8,55.9,41.1,59.9,38.0,79.2
2026-08-28,54.1,57.3,39.5,65.1,36.2,76.2
2026-08-31,54.6,58.7,39.4,68.7,37.1,72.1
2026-09-01,53.6,58.3,38.6,69.7,36.8,66.2
2026-09-02,51.0,54.9,37.5,66.8,35.9,60.9
2026-09-03,50.0,55.5,36.3,63.1,37.8,58.2
2026-09-04,49.6,57.0,36.6,59.9,37.4,57.3
2026-09-07,48.9,56.4,37.4,57.6,35.7,57.3
2026-09-09,49.8,57.6,41.2,52.7,35.4,61.6
2026-09-10,49.9,54.2,43.4,53.2,39.5,59.7
2026-09-11,49.1,49.2,42.6,50.8,47.2,59.5
2026-09-14,49.5,49.0,40.8,48.5,52.7,63.0
2026-09-15,48.9,47.9,38.3,47.7,55.3,63.7
2026-09-16,47.5,46.9,36.0,47.0,50.7,65.2
2026-09-17,46.3,46.6,34.5,46.0,42.5,69.7
2026-09-18,46.2,47.3,35.0,47.7,35.7,71.8
