구 분,신용거래융자_전체,신용거래융자_유가증권,신용거래융자_코스닥,신용거래대주_전체,신용거래대주_유가증권,신용거래대주_코스닥,청약자금 대출,예탁증권 담보융자
2026/08/28,33337971,26386089,6951882,31019,27994,3025,-,25408681
2026/08/27,33329014,26478840,6850174,28998,26141,2858,-,25614806
2026/08/26,33102367,26246926,6855441,32977,29912,3065,-,25763003
2026/08/25,32848307,25902153,6946154,29319,26681,2638,-,25646931
2026/08/24,32628246,25753152,6875094,30955,28122,2833,-,25303427
2026/08/21,32416288,25561165,6855123,27147,24621,2526,-,25576085
2026/08/20,31893895,24974174,6919721,31482,28792,2690,-,25378522
2026/08/19,31312008,24487369,6824640,33918,31037,2881,-,25126144
2026/08/18,31104533,24394711,6709822,33446,29841,3605,-,25194954
2026/08/14,30867510,24327182,6540328,31067,26799,4268,-,24918140
2026/08/13,30926266,24534908,6391359,27985,24582,3403,-,24862321
2026/08/12,30418753,24198821,6219932,27295,23814,3481,-,24715601
2026/08/11,30038722,23770378,6268345,26310,22936,3374,-,24657728
2026/08/10,30023768,23838401,6185366,25621,22208,3413,-,24672334
2026/08/07,29230368,23099946,6130422,27780,24486,3294,-,24415045
2026/08/06,28794010,22868507,5925503,24744,21450,3295,-,24371411
2026/08/05,28417966,22520319,5897647,19019,16207,2812,-,24604608
2026/08/04,27403828,21589188,5814640,26324,23811,2513,-,24137875
2026/08/03,27443854,21614091,5829763,17040,14936,2104,-,24871213
2026/07/31,28934997,22840599,6094398,14438,12450,1988,-,25449338
2026/07/30,32153119,25508658,6644461,19393,17391,2002,-,25819358
2026/07/29,32995046,26175088,6819958,24791,22172,2619,-,25515482
2026/07/28,33194040,26271969,6922071,24959,22370,2590,-,25159474
2026/07/27,32741063,25835506,6905557,30074,26854,3220,-,24690322
2026/07/24,32671670,25745724,6925945,23451,20912,2539,-,24709692
2026/07/23,32749219,25838628,6910591,25929,23360,2569,-,24838296
2026/07/22,33042098,26028687,7013411,20774,18117,2658,-,25067386
2026/07/21,33558388,26420477,7137911,25257,22382,2875,-,24912476
2026/07/20,33332642,26206459,7126183,30774,27808,2966,-,24782509
2026/07/16,33362442,26253368,7109075,24274,21166,3109,-,25195635
2026/07/15,34370184,27135448,7234735,26953,23784,3169,-,25877910
2026/07/14,34707755,27452720,7255034,28580,25297,3283,-,24804274
2026/07/13,34788619,27447168,7341451,24200,21049,3151,-,24872258
