date,individual,foreign,inst_total,fin_invest,insurance,invest_trust,bank,other_fin,pension,other_corp
2026-01-02,-72,-4512,4453,-248,277,4141,252,19,12,131
2026-01-05,1668,-6059,4202,-1911,173,6211,-259,-4,-8,189
2026-01-06,-301,-4453,4457,6395,-47,-1840,-27,10,-34,297
2026-01-07,948,-5234,4414,1164,255,2983,-16,1,27,-128
2026-01-08,-156,5092,-4640,-4746,113,-238,-6,-19,256,-296
2026-01-09,-1790,1792,-238,2082,-55,-2218,-12,12,-47,236
2026-01-12,-1699,-539,2543,183,515,1710,73,2,60,-305
2026-01-13,807,1893,-2814,-1793,-71,-918,-25,9,-16,114
2026-01-14,-41,-471,746,-1361,272,1891,-17,-5,-34,-234
2026-01-15,1866,-1781,-79,-2755,336,2364,-39,1,14,-6
2026-01-16,1834,-4549,2496,4152,148,-1976,71,-1,102,219
2026-01-19,235,935,-1554,-5481,573,3529,-12,-17,-146,384
2026-01-20,614,-1041,688,5274,769,-5278,-104,6,21,-261
2026-01-21,-3929,5411,-839,-4333,294,3091,102,6,1,-643
2026-01-22,3007,-3286,-94,2423,-7,-3054,-64,-31,639,373
2026-01-23,-2345,546,1812,-3764,400,3860,-44,37,1323,-13
2026-01-26,3051,-4830,1643,8290,148,-4812,-36,-21,-1926,136
2026-01-27,-2229,3178,-930,-7278,246,5978,95,29,0,-19
2026-01-28,1538,-8334,6341,4049,150,2204,-38,-3,-21,455
2026-01-29,1685,-5790,4266,7267,499,-3456,51,-71,-24,-161
2026-01-30,-1047,-1899,2922,-144,66,2960,-12,19,33,24
2026-02-02,1251,-8378,7640,18040,-248,-10314,15,-12,159,-513
2026-02-03,-5028,3520,1363,-10719,902,11375,-66,14,-143,145
2026-02-04,2839,-1461,-1826,1644,-128,-3466,23,-7,108,448
2026-02-05,-1949,-10249,12802,18111,-317,-5775,22,-8,769,-604
2026-02-06,-586,-1856,2547,48,-457,2305,42,46,563,-105
2026-02-09,-189,8544,-8622,-14822,392,6126,-64,-6,-248,267
2026-02-10,1212,4424,-5567,-2467,-75,-2745,0,9,-289,-69
2026-02-11,70,1861,-1980,-4328,-66,2419,-29,-3,27,49
2026-02-12,-1645,7648,-6257,-6712,324,229,0,6,-104,254
2026-02-13,1905,300,-2443,-747,-580,-1086,48,-3,-75,238
2026-02-19,-644,2042,-1379,-18,79,-1211,35,-15,-249,-19
2026-02-20,-1113,3772,-2298,-8034,98,5514,16,-27,135,-361
2026-02-23,1194,-6708,5445,7783,241,-2539,5,-52,7,69
2026-02-24,1572,2830,-4836,-9450,711,3859,30,25,-11,434
2026-02-25,1462,-4746,2799,3160,862,-1013,14,-5,-219,485
2026-02-26,-2034,-1709,3943,-1409,373,5059,-31,-20,-29,-200
2026-02-27,3054,-11824,9009,12578,257,-3833,-31,-5,43,-239
2026-03-03,-566,-1210,2664,8795,-84,-6163,55,-1,62,-888
2026-03-04,-5429,12087,-6412,6110,-1007,-12295,211,85,484,-246
2026-03-05,-4198,-12048,16531,720,761,15241,-176,10,-25,-285
2026-03-06,90,-7631,7535,9885,73,-2265,-142,0,-16,6
2026-03-09,505,-6776,6168,10616,661,-5107,3,-5,0,103
2026-03-10,631,-1748,1229,-7519,63,8703,5,0,-23,-112
2026-03-11,1754,440,-2575,-2471,240,-312,-26,-5,-1,381
2026-03-12,1460,-6905,5122,7201,168,-2444,7,0,190,323
2026-03-13,-3507,-321,4026,5958,-3,-1919,2,0,-12,-198
2026-03-16,-12,-3280,3292,521,-53,2820,-2,6,0,0
2026-03-17,748,-87,-465,-825,435,-2,-32,-5,-36,-196
2026-03-18,979,7850,-9046,-12797,298,3616,13,4,-180,217
2026-03-19,1540,-7759,6333,10273,-82,-3839,7,-4,-22,-114
2026-03-20,-193,-1521,1680,604,41,1017,-7,4,21,34
2026-03-23,-3699,-10826,14491,22071,-174,-7367,9,-8,-40,34
2026-03-24,847,1857,-2491,-10165,4,7704,-15,1,-20,-213
2026-03-25,1310,7551,-8797,-7827,43,-889,9,-106,-27,-64
2026-03-26,-1930,1595,351,1501,251,-1439,36,0,2,-16
2026-03-27,-1000,-2262,3296,3202,-321,461,15,-56,-5,-34
2026-03-30,1082,-35,-1031,64,336,-1442,-17,-5,33,-16
2026-03-31,565,700,-1451,1968,-506,-3147,-35,164,105,186
2026-04-01,2774,7070,-10331,-22295,362,11571,38,0,-7,487
2026-04-02,-2665,55,2694,13216,-501,-10136,45,0,70,-84
2026-04-03,-553,993,-376,-5523,-30,5006,-69,0,240,-64
2026-04-06,1167,-88,-1161,-3932,108,2977,5,0,-319,82
2026-04-07,-1027,430,648,3043,-165,-2205,10,0,-35,-51
2026-04-08,2480,7642,-10413,-19257,564,8310,-32,0,2,291
2026-04-09,753,1698,-2426,3861,26,-6718,22,-1,384,-25
2026-04-10,-612,1619,-843,-2805,-118,2201,-37,1,-85,-164
2026-04-13,-740,-977,1562,5761,62,-4268,5,-2,4,155
2026-04-14,849,7150,-7946,-9939,185,1922,17,2,-133,-53
2026-04-15,1348,2529,-3879,-3276,324,-986,-13,4,68,2
2026-04-16,-225,3121,-2834,-3115,66,215,8,0,-8,-62
2026-04-17,563,-1148,592,797,196,-392,-14,5,0,-7
