date,close,change_pct
2026-01-02,624.17,3.0
2026-01-05,648.74,3.94
2026-01-06,659.45,1.65
2026-01-07,664.48,0.76
2026-01-08,664.18,-0.05
2026-01-09,668.25,0.61
2026-01-12,672.86,0.69
2026-01-13,680.71,1.17
2026-01-14,685.76,0.74
2026-01-15,696.39,1.55
2026-01-16,704.64,1.18
2026-01-19,713.96,1.32
2026-01-20,708.48,-0.77
2026-01-21,714.94,0.91
2026-01-22,722.3,1.03
2026-01-23,727.29,0.69
2026-01-26,720.04,-1.0
2026-01-27,745.13,3.48
2026-01-28,758.72,1.82
2026-01-29,765.59,0.91
2026-01-30,768.41,0.37
2026-02-02,725.46,-5.59
2026-02-03,779.54,7.45
2026-02-04,790.38,1.39
2026-02-05,756.95,-4.23
2026-02-06,748.1,-1.17
2026-02-09,780.94,4.39
2026-02-10,780.76,-0.02
2026-02-11,788.75,1.02
2026-02-12,816.28,3.49
2026-02-13,814.59,-0.21
2026-02-19,840.24,3.15
2026-02-20,859.59,2.3
2026-02-23,865.49,0.69
2026-02-24,886.88,2.47
2026-02-25,903.83,1.91
2026-02-26,944.02,4.45
2026-02-27,933.34,-1.13
2026-03-03,859.4,-7.92
2026-03-04,756.79,-11.94
2026-03-05,831.22,9.83
2026-03-06,828.83,-0.29
2026-03-09,775.31,-6.46
2026-03-10,823.02,6.15
2026-03-11,834.05,1.34
2026-03-12,827.51,-0.78
2026-03-13,812.93,-1.76
2026-03-16,826.83,1.71
2026-03-17,840.89,1.7
2026-03-18,888.57,5.67
2026-03-19,862.37,-2.95
2026-03-20,862.5,0.02
2026-03-23,804.86,-6.68
2026-03-24,827.64,2.83
2026-03-25,838.7,1.34
2026-03-26,808.89,-3.55
2026-03-27,805.19,-0.46
2026-03-30,780.32,-3.09
2026-03-31,744.57,-4.58
2026-04-01,813.84,9.3
2026-04-02,774.63,-4.82
2026-04-03,798.32,3.06
2026-04-06,811.84,1.69
2026-04-07,821.1,1.14
2026-04-08,882.81,7.52
2026-04-09,865.75,-1.93
2026-04-10,878.78,1.51
2026-04-13,870.78,-0.91
2026-04-14,897.0,3.01
2026-04-15,916.6,2.19
2026-04-16,937.87,2.32
2026-04-17,931.41,-0.69
2026-04-20,935.75,0.47
2026-04-21,962.26,2.83
2026-04-22,964.52,0.23
2026-04-23,975.62,1.15
2026-04-24,971.87,-0.38
2026-04-27,995.33,2.41
2026-04-28,999.03,0.37
2026-04-29,1006.59,0.76
2026-04-30,992.15,-1.43
2026-05-04,1049.66,5.8
2026-05-06,1129.63,7.62
2026-05-07,1149.86,1.79
2026-05-08,1151.17,0.11
2026-05-11,1211.44,5.24
2026-05-12,1183.41,-2.31
2026-05-13,1220.17,3.11
2026-05-14,1243.17,1.88
2026-05-15,1162.39,-6.5
2026-05-18,1171.3,0.77
2026-05-19,1132.42,-3.32
2026-05-20,1125.51,-0.61
2026-05-21,1225.22,8.86
2026-05-22,1226.03,0.07
2026-05-26,1260.53,2.81
2026-05-27,1298.86,3.04
2026-05-28,1292.57,-0.48
2026-05-29,1342.82,3.89
2026-06-01,1399.91,4.25
2026-06-02,1407.23,0.52
2026-06-04,1379.56,-1.97
2026-06-05,1297.02,-5.98
2026-06-08,1186.54,-8.52
2026-06-09,1293.4,9.01
2026-06-10,1227.12,-5.12
2026-06-11,1231.54,0.36
2026-06-12,1291.32,4.85
2026-06-15,1360.26,5.34
2026-06-16,1391.74,2.31
2026-06-17,1416.97,1.81
2026-06-18,1459.23,2.98
2026-06-19,1459.48,0.02
2026-06-22,1477.22,1.22
2026-06-23,1321.7,-10.53
2026-06-24,1369.62,3.63
2026-06-25,1454.15,6.17
2026-06-26,1366.49,-6.03
2026-06-29,1352.54,-1.02
2026-06-30,1370.73,1.34
2026-07-01,1335.36,-2.58
2026-07-02,1219.62,-8.67
2026-07-03,1299.3,6.53
2026-07-06,1293.13,-0.47
2026-07-07,1225.57,-5.22
2026-07-08,1158.37,-5.48
2026-07-09,1169.73,0.98
2026-07-10,1196.69,2.3
2026-07-13,1078.78,-9.85
2026-07-14,1092.23,1.25
2026-07-15,1163.9,6.56
2026-07-16,1080.36,-7.18
2026-07-20,1032.52,-4.43
2026-07-21,1073.39,3.96
2026-07-22,1080.22,0.64
2026-07-23,1126.33,4.27
2026-07-24,1055.58,-6.28
2026-07-27,1069.22,1.29
2026-07-28,945.69,-11.55
2026-07-29,887.2,-6.18
2026-07-30,872.49,-1.66
2026-07-31,1046.81,19.98
2026-08-03,986.72,-5.74
2026-08-04,1000.03,1.35
