date,close,change_pct
2026-01-02,945.57,2.17
2026-01-05,957.5,1.26
2026-01-06,955.97,-0.16
2026-01-07,947.39,-0.9
2026-01-08,944.06,-0.35
2026-01-09,947.92,0.41
2026-01-12,949.81,0.2
2026-01-13,948.98,-0.09
2026-01-14,942.18,-0.72
2026-01-15,951.16,0.95
2026-01-16,954.59,0.36
2026-01-19,968.36,1.44
2026-01-20,976.37,0.83
2026-01-21,951.29,-2.57
2026-01-22,970.35,2.0
2026-01-23,993.93,2.43
2026-01-26,1064.41,7.09
2026-01-27,1082.59,1.71
2026-01-28,1133.52,4.7
2026-01-29,1164.41,2.73
2026-01-30,1149.44,-1.29
2026-02-02,1098.36,-4.44
2026-02-03,1144.33,4.19
2026-02-04,1149.43,0.45
2026-02-05,1108.41,-3.57
2026-02-06,1080.77,-2.49
2026-02-09,1127.55,4.33
2026-02-10,1115.2,-1.1
2026-02-11,1114.87,-0.03
2026-02-12,1125.99,1.0
2026-02-13,1106.08,-1.77
2026-02-19,1160.71,4.94
2026-02-20,1154.0,-0.58
2026-02-23,1151.99,-0.17
2026-02-24,1165.0,1.13
2026-02-25,1165.25,0.02
2026-02-26,1188.15,1.97
2026-02-27,1192.78,0.39
2026-03-03,1137.7,-4.62
2026-03-04,978.44,-14.0
2026-03-05,1116.41,14.1
2026-03-06,1154.67,3.43
2026-03-09,1102.28,-4.54
2026-03-10,1137.68,3.21
2026-03-11,1136.83,-0.07
2026-03-12,1148.4,1.02
2026-03-13,1152.96,0.4
2026-03-16,1138.29,-1.27
2026-03-17,1136.94,-0.12
2026-03-18,1164.38,2.41
2026-03-19,1143.48,-1.79
2026-03-20,1161.52,1.58
2026-03-23,1096.89,-5.56
2026-03-24,1121.44,2.24
2026-03-25,1159.55,3.4
2026-03-26,1136.64,-1.98
2026-03-27,1141.51,0.43
2026-03-30,1107.05,-3.02
2026-03-31,1052.39,-4.94
2026-04-01,1116.18,6.06
2026-04-02,1056.34,-5.36
2026-04-03,1063.75,0.7
2026-04-06,1047.37,-1.54
2026-04-07,1036.73,-1.02
2026-04-08,1089.85,5.12
2026-04-09,1076.0,-1.27
2026-04-10,1093.63,1.64
2026-04-13,1099.84,0.57
2026-04-14,1121.88,2.0
2026-04-15,1152.43,2.72
2026-04-16,1162.97,0.91
2026-04-17,1170.04,0.61
2026-04-20,1174.85,0.41
2026-04-21,1179.03,0.36
2026-04-22,1181.12,0.18
2026-04-23,1174.31,-0.58
2026-04-24,1203.84,2.51
2026-04-27,1226.18,1.86
2026-04-28,1215.58,-0.86
2026-04-29,1220.26,0.39
2026-04-30,1192.35,-2.29
2026-05-04,1213.74,1.79
2026-05-06,1210.17,-0.29
2026-05-07,1199.18,-0.91
2026-05-08,1207.72,0.71
2026-05-11,1207.34,-0.03
2026-05-12,1179.29,-2.32
2026-05-13,1176.93,-0.2
2026-05-14,1191.09,1.2
2026-05-15,1129.82,-5.14
2026-05-18,1111.09,-1.66
2026-05-19,1084.36,-2.41
2026-05-20,1056.07,-2.61
2026-05-21,1105.97,4.73
2026-05-22,1161.13,4.99
2026-05-26,1172.52,0.98
2026-05-27,1133.13,-3.36
2026-05-28,1104.36,-2.54
2026-05-29,1074.8,-2.68
2026-06-01,1050.03,-2.3
2026-06-02,1026.03,-2.29
2026-06-04,1049.73,2.31
2026-06-05,1002.44,-4.5
2026-06-08,911.39,-9.08
2026-06-09,967.81,6.19
2026-06-10,951.63,-1.67
2026-06-11,996.93,4.76
2026-06-12,1029.05,3.22
2026-06-15,1034.03,0.48
2026-06-16,1018.68,-1.48
2026-06-17,1031.96,1.3
2026-06-18,1000.93,-3.01
2026-06-19,966.59,-3.43
2026-06-22,968.4,0.19
2026-06-23,891.52,-7.94
2026-06-24,909.31,2.0
2026-06-25,887.81,-2.36
2026-06-26,851.37,-4.1
2026-06-29,920.57,8.13
2026-06-30,916.18,-0.48
2026-07-01,929.35,1.44
2026-07-02,866.72,-6.74
2026-07-03,868.41,0.19
2026-07-06,847.07,-2.46
2026-07-07,831.23,-1.87
2026-07-08,785.0,-5.56
2026-07-09,794.0,1.15
2026-07-10,837.43,5.47
2026-07-13,799.36,-4.55
2026-07-14,783.98,-1.92
2026-07-15,829.43,5.8
2026-07-16,791.84,-4.53
2026-07-20,749.64,-5.33
2026-07-21,753.34,0.49
2026-07-22,751.09,-0.3
2026-07-23,790.28,5.22
2026-07-24,748.22,-5.32
2026-07-27,764.86,2.22
2026-07-28,705.85,-7.72
2026-07-29,662.68,-6.12
2026-07-30,644.78,-2.7
2026-07-31,719.76,11.63
2026-08-03,737.35,2.44
2026-08-04,780.72,5.88
2026-08-05,799.59,2.42
2026-08-06,801.67,0.26
2026-08-07,798.81,-0.36
2026-08-10,854.47,6.97
2026-08-11,857.84,0.39
2026-08-12,858.91,0.12
2026-08-13,861.37,0.29
2026-08-14,864.65,0.38
2026-08-18,834.2,-3.52
2026-08-19,824.46,-1.17
