date,close,change_pct
2026-01-02,4309.63,2.27
2026-01-05,4457.52,3.43
2026-01-06,4525.48,1.52
2026-01-07,4551.06,0.57
2026-01-08,4552.37,0.03
2026-01-09,4586.32,0.75
2026-01-12,4624.79,0.84
2026-01-13,4692.64,1.47
2026-01-14,4723.1,0.65
2026-01-15,4797.55,1.58
2026-01-16,4840.74,0.9
2026-01-19,4904.66,1.32
2026-01-20,4885.75,-0.39
2026-01-21,4909.93,0.49
2026-01-22,4952.53,0.87
2026-01-23,4990.07,0.76
2026-01-26,4949.59,-0.81
2026-01-27,5084.85,2.73
2026-01-28,5170.81,1.69
2026-01-29,5221.25,0.98
2026-01-30,5224.36,0.06
2026-02-02,4949.67,-5.26
2026-02-03,5288.08,6.84
2026-02-04,5371.1,1.57
2026-02-05,5163.57,-3.86
2026-02-06,5089.14,-1.44
2026-02-09,5298.04,4.1
2026-02-10,5301.69,0.07
2026-02-11,5354.49,1.0
2026-02-12,5522.27,3.13
2026-02-13,5507.01,-0.28
2026-02-19,5677.25,3.09
2026-02-20,5808.53,2.31
2026-02-23,5846.09,0.65
2026-02-24,5969.64,2.11
2026-02-25,6083.86,1.91
2026-02-26,6307.27,3.67
2026-02-27,6244.13,-1.0
2026-03-03,5791.91,-7.24
2026-03-04,5093.54,-12.06
2026-03-05,5583.9,9.63
2026-03-06,5584.87,0.02
2026-03-09,5251.87,-5.96
2026-03-10,5532.59,5.35
2026-03-11,5609.95,1.4
2026-03-12,5583.25,-0.48
2026-03-13,5487.24,-1.72
2026-03-16,5549.85,1.14
2026-03-17,5640.48,1.63
2026-03-18,5925.03,5.04
2026-03-19,5763.22,-2.73
2026-03-20,5781.2,0.31
2026-03-23,5405.75,-6.49
2026-03-24,5553.92,2.74
2026-03-25,5642.21,1.59
2026-03-26,5460.46,-3.22
2026-03-27,5438.87,-0.4
2026-03-30,5277.3,-2.97
2026-03-31,5052.46,-4.26
2026-04-01,5478.7,8.44
2026-04-02,5234.05,-4.47
2026-04-03,5377.3,2.74
2026-04-06,5450.33,1.36
2026-04-07,5494.78,0.82
2026-04-08,5872.34,6.87
2026-04-09,5778.01,-1.61
2026-04-10,5858.87,1.4
2026-04-13,5808.62,-0.86
2026-04-14,5967.75,2.74
2026-04-15,6091.39,2.07
2026-04-16,6226.05,2.21
2026-04-17,6191.92,-0.55
2026-04-20,6219.09,0.44
2026-04-21,6388.47,2.72
2026-04-22,6417.93,0.46
2026-04-23,6475.81,0.9
2026-04-24,6475.63,0.0
2026-04-27,6615.03,2.15
2026-04-28,6641.02,0.39
2026-04-29,6690.9,0.75
2026-04-30,6598.87,-1.38
2026-05-04,6936.99,5.12
2026-05-06,7384.56,6.45
2026-05-07,7490.05,1.43
2026-05-08,7498.0,0.11
2026-05-11,7822.24,4.32
2026-05-12,7643.15,-2.29
2026-05-13,7844.01,2.63
2026-05-14,7981.41,1.75
2026-05-15,7493.18,-6.12
2026-05-18,7516.04,0.31
2026-05-19,7271.66,-3.25
2026-05-20,7208.95,-0.86
2026-05-21,7815.59,8.42
2026-05-22,7847.71,0.41
2026-05-26,8047.51,2.55
2026-05-27,8228.7,2.25
2026-05-28,8185.29,-0.53
2026-05-29,8476.15,3.55
2026-06-01,8788.38,3.68
2026-06-02,8801.49,0.15
2026-06-04,8639.41,-1.84
2026-06-05,8160.59,-5.54
2026-06-08,7484.41,-8.29
2026-06-09,8096.93,8.18
2026-06-10,7730.82,-4.52
2026-06-11,7763.95,0.43
2026-06-12,8123.62,4.63
2026-06-15,8545.98,5.2
2026-06-16,8726.6,2.11
2026-06-17,8864.24,1.58
2026-06-18,9063.84,2.25
2026-06-19,9052.42,-0.13
2026-06-22,9114.55,0.69
2026-06-23,8203.84,-9.99
2026-06-24,8471.02,3.26
2026-06-25,8930.3,5.42
2026-06-26,8411.21,-5.81
2026-06-29,8394.65,-0.2
2026-06-30,8476.48,0.97
2026-07-01,8303.41,-2.04
2026-07-02,7648.09,-7.89
2026-07-03,8088.34,5.76
2026-07-06,8051.33,-0.46
2026-07-07,7656.31,-4.91
2026-07-08,7246.79,-5.35
2026-07-09,7291.91,0.62
2026-07-10,7475.94,2.52
2026-07-13,6806.93,-8.95
2026-07-14,6856.83,0.73
2026-07-15,7284.41,6.24
2026-07-16,6820.6,-6.37
2026-07-20,6516.27,-4.46
2026-07-21,6747.95,3.56
2026-07-22,6797.7,0.74
2026-07-23,7096.89,4.4
2026-07-24,6690.62,-5.72
2026-07-27,6755.75,0.97
2026-07-28,6023.66,-10.84
2026-07-29,5663.24,-5.98
2026-07-30,5593.56,-1.23
2026-07-31,6595.45,17.91
2026-08-03,6257.45,-5.12
2026-08-04,6358.95,1.62
2026-08-05,6598.26,3.76
2026-08-06,6296.38,-4.58
2026-08-07,6258.77,-0.6
2026-08-10,6299.66,0.65
2026-08-11,6345.53,0.73
2026-08-12,6579.04,3.68
2026-08-13,6813.34,3.56
