date,individual,foreign,inst_total,fin_invest,insurance,invest_trust,bank,other_fin,pension,other_corp
2026-01-02,-1825,1044,845,621,34,-1,15,-113,289,-63
2026-01-05,996,-1120,243,527,-17,-441,1,-98,271,-120
2026-01-06,3813,-3349,-301,1649,-80,-1628,5,-62,-184,-164
2026-01-07,1833,2573,-1003,448,-19,-930,-8,-163,-331,-3404
2026-01-08,673,-915,272,295,32,-136,-1,-28,111,-31
2026-01-09,1064,-1700,762,1375,6,-511,5,-26,-86,-126
2026-01-12,1000,-74,-686,343,-121,-505,3,-197,-208,-240
2026-01-13,3370,-1811,-1457,-20,-118,-1163,-3,-69,-83,-103
2026-01-14,4194,-2632,-1568,202,-49,-1316,-3,-283,-119,6
2026-01-15,-2562,3148,-288,1040,-80,-596,-6,-344,-301,-299
2026-01-16,567,-840,397,695,-51,-473,-1,-50,276,-125
2026-01-19,-1396,2264,-386,-285,-60,86,0,-205,78,-483
2026-01-20,-3080,240,2759,2397,-23,443,-17,-83,42,80
2026-01-21,9553,-2612,-6611,69,-303,-4225,-23,-70,-2059,-330
2026-01-22,899,833,-1377,-843,-94,-156,-19,-104,-161,-355
2026-01-23,-10360,1052,9735,8014,33,1420,8,-132,392,-428
2026-01-26,-29138,4497,26217,21065,288,3635,1,-279,1507,-1576
2026-01-27,-14540,-1133,16528,15050,8,913,6,-82,633,-855
2026-01-28,-26462,4866,23022,20610,54,1499,-2,-64,924,-1426
2026-01-29,-21297,2163,20427,20993,-104,-412,8,-144,87,-1294
2026-01-30,-9830,-1658,13351,14908,-122,-1614,-25,-103,307,-1862
2026-02-02,2127,4108,-5484,-3823,-165,-1327,-3,-24,-143,-750
2026-02-03,-7085,-896,8633,7994,-94,735,13,7,-22,-652
2026-02-04,2399,49,-1515,864,-232,-1343,22,-150,-677,-933
2026-02-05,9063,-2756,-5385,-1523,-128,-2396,-1,-293,-1044,-921
2026-02-06,1484,728,-1643,60,-111,-1363,-6,-22,-199,-570
2026-02-09,-6236,2317,4877,3812,42,1368,-10,-108,-227,-958
2026-02-10,3239,-1955,-808,108,-32,-426,-5,-58,-396,-476
2026-02-11,-514,191,608,488,-67,505,-18,-40,-260,-285
2026-02-12,860,-1066,997,1082,-26,296,0,-120,-235,-792
2026-02-13,6220,-2414,-3381,-2079,-30,-641,-18,-173,-441,-425
2026-02-19,-18301,8540,10541,9354,-168,807,1,-164,711,-781
2026-02-20,2318,-2073,231,954,-38,-569,-8,-191,82,-475
2026-02-23,2179,1805,-3624,-1786,-12,-1489,0,-129,-208,-360
2026-02-24,2286,2790,-1468,-1200,111,-384,4,-284,285,-3608
2026-02-25,3906,-2159,-1277,-506,-22,-609,-9,-121,-10,-470
2026-02-26,-5459,4247,1901,1513,-63,370,2,-151,231,-689
2026-02-27,-4724,623,4460,3962,41,387,-1,-58,129,-358
2026-03-03,-7614,5934,2388,1391,25,726,10,-97,333,-708
2026-03-04,-12030,11703,323,846,6,-357,-1,-73,-98,4
2026-03-05,-15514,8322,7393,4222,101,2517,2,-165,717,-201
2026-03-06,-800,-3862,4761,2200,269,692,16,-72,1656,-99
2026-03-09,5065,-5389,447,1709,10,-1789,-11,-81,609,-123
2026-03-10,136,-4021,4298,3583,74,156,-10,-62,557,-414
2026-03-11,2542,-812,-1267,-773,-27,-382,0,-210,125,-464
2026-03-12,5064,-6867,2531,1870,-18,617,-2,-335,400,-728
2026-03-13,-1325,-829,2526,1127,88,1123,-2,-207,397,-373
2026-03-16,7104,-5012,-1696,-1131,-13,-67,3,-496,8,-395
2026-03-17,1380,-585,-359,-226,-23,282,-21,-63,-308,-436
2026-03-18,-3928,4924,-253,306,-27,-263,-10,-169,-91,-743
2026-03-19,5018,-2004,-2612,-1812,46,-634,-8,-186,-17,-403
2026-03-20,-1171,2347,-942,229,67,-827,-29,-171,-212,-234
2026-03-23,4647,-2592,-1998,272,-20,-2175,-1,-57,-16,-58
2026-03-24,-2113,1733,158,-123,17,339,9,-89,5,222
2026-03-25,-3821,3732,224,-895,143,878,-8,-8,113,-136
2026-03-26,4846,-2963,-1337,-1636,2,412,-9,-235,129,-546
2026-03-27,1703,-2337,507,127,86,295,-9,-47,55,127
2026-03-30,3041,-1314,-1179,-407,-48,-329,0,-92,-303,-548
2026-03-31,497,1188,-687,590,-99,-717,1,-152,-309,-998
2026-04-01,-9011,4385,4609,2820,45,1640,1,-41,144,17
2026-04-02,6157,-863,-5055,-2231,-113,-1511,-2,-157,-1041,-240
2026-04-03,4067,-1966,-2173,-1510,-55,-334,-9,-25,-241,71
2026-04-06,4266,868,-3592,-2117,-107,-1163,-1,-18,-186,-1542
2026-04-07,-322,1798,-1200,420,-43,-1378,5,-17,-187,-275
2026-04-08,-5833,2397,3729,3700,23,251,7,-70,-181,-293
2026-04-09,9281,-4249,-5080,-3200,-46,-1326,-16,-38,-454,48
2026-04-10,-824,-19,931,-734,76,1864,-15,-72,-188,-89
2026-04-13,2620,-1491,-923,-971,61,152,-2,-62,-101,-205
2026-04-14,1160,-64,-1288,-1453,30,133,4,-147,146,191
2026-04-15,-2561,2209,1767,153,16,1448,5,-74,218,-1415
2026-04-16,3605,-2463,-640,-1047,54,519,2,-109,-59,-502
2026-04-17,14,133,138,-401,-65,542,-5,-56,122,-285
2026-04-20,1622,216,-1604,-1487,-64,215,-9,-101,-159,-233
2026-04-21,4909,-2830,-1202,-368,-118,-673,2,-75,30,-877
2026-04-22,2969,1621,-3691,-2273,-131,-509,-12,-71,-695,-898
2026-04-23,3249,-1462,-1495,-938,-51,-424,-7,-44,-31,-292
2026-04-24,-8990,7325,1887,806,85,827,19,-56,206,-222
2026-04-27,1418,-1722,849,415,-84,862,5,-58,-290,-545
2026-04-28,7962,-4949,-2543,-1877,-70,-538,-17,-52,11,-471
2026-04-29,1379,-21,-729,369,-119,-427,-35,-61,-456,-630
2026-04-30,5532,-2112,-3045,-1448,-135,-1124,-12,-55,-270,-375
2026-05-04,-4422,5548,-729,-1515,-105,874,0,-132,148,-397
2026-05-06,6105,-615,-5435,-4264,-327,-360,2,-14,-473,-56
2026-05-07,-177,1747,-1323,-119,53,-1074,-19,-102,-63,-246
2026-05-08,-4694,4046,803,681,-42,402,-10,-116,-113,-155
2026-05-11,847,1160,-1630,-2598,-184,1090,-4,-77,144,-377
2026-05-12,-2234,5216,-2584,1319,2,-3803,-7,-7,-88,-399
2026-05-13,5899,-6016,39,315,-27,365,4,-86,-532,78
2026-05-14,911,-1349,595,9,22,747,91,-303,29,-158
2026-05-15,-1448,4081,-1673,-240,-17,-978,-17,-148,-273,-959
2026-05-18,-84,2369,-2540,-908,-57,-778,-13,-85,-699,255
2026-05-19,1032,1307,-659,933,26,-1038,-6,-18,-557,-1680
2026-05-20,-580,2009,-1367,-317,8,-557,7,-143,-366,-62
2026-05-21,-2509,1366,1391,337,1,1253,-5,-135,-60,-248
2026-05-22,-8793,5975,3010,1006,129,1232,18,-234,858,-192
2026-05-26,2306,-1031,-256,-758,-62,533,2,-125,153,-1018
2026-05-27,6315,-847,-5411,-4915,-103,-632,-2,-132,373,-57
2026-05-28,381,3821,-4011,-1905,-22,-1775,-10,-25,-275,-192
2026-05-29,3094,115,-3140,-882,-232,-1427,-5,-180,-415,-69
2026-06-01,-4916,8064,-2912,1104,-335,-2787,-6,-35,-853,-236
2026-06-02,-4090,3401,1327,2445,-70,-551,-3,-15,-479,-637
2026-06-04,-1633,-424,2066,562,46,1293,9,-42,199,-9
2026-06-05,337,-1878,1508,-324,37,1529,-3,-43,311,33
2026-06-08,-1245,2976,-1466,759,-113,-1357,-24,-190,-541,-265
2026-06-09,-5112,3126,1996,293,35,1403,-3,3,266,-9
2026-06-10,1167,1420,-1125,-1075,43,199,18,-114,-196,-1462
2026-06-11,-3634,-3601,7149,6212,202,-143,15,-16,878,86
2026-06-12,-9416,2769,6315,-7010,91,12612,3,-29,648,332
2026-06-15,6162,-8164,2166,725,-92,1853,1,-15,-306,-164
2026-06-16,7907,-3095,-4630,-2087,-41,-2353,1,-40,-110,-183
2026-06-17,-335,400,-101,1330,32,-1741,3,-36,311,36
2026-06-18,3842,-1235,-2659,-2138,-115,-372,-8,-60,34,52
2026-06-19,750,4977,-5838,-2801,-161,-2744,-6,-2,-125,112
2026-06-22,-4634,3152,1456,1434,3,-246,3,-68,330,26
2026-06-23,-3979,2746,1329,3423,-28,-1940,-7,-13,-107,-96
2026-06-24,-3184,-320,3363,2777,8,292,3,6,277,141
2026-06-25,1452,212,-1707,-1713,11,-155,-1,-2,153,43
2026-06-26,-6688,3510,3084,3049,16,-244,-3,-65,331,95
2026-06-29,-5272,266,5043,5305,52,-861,-2,-13,562,-37
2026-06-30,3909,-2464,-1428,1559,74,-3348,-5,-39,330,-17
2026-07-01,-1082,2472,-1255,1537,49,-3331,2,-12,498,-134
2026-07-02,4859,-1942,-3091,1680,-40,-3905,4,-1,-829,173
2026-07-03,1075,-202,-1037,-345,-98,-323,7,-1,-277,164
2026-07-06,2591,-447,-2244,-603,-145,-804,-5,-73,-615,100
2026-07-07,-3616,3742,-100,1454,-23,-1477,0,-11,-43,-27
2026-07-08,-1959,3376,-1453,-87,-70,-999,0,-9,-288,36
2026-07-09,-3217,221,3081,1488,83,1218,-3,11,284,-86
2026-07-10,-4213,-1563,5825,1845,68,3501,5,-11,416,-49
2026-07-13,1833,-3878,1843,-910,30,2828,0,2,-107,203
2026-07-14,698,-2471,1587,245,-43,1436,-32,-11,-9,186
2026-07-15,-1542,231,1086,-884,74,1817,-4,-14,97,226
2026-07-16,4184,-2919,-1553,-1123,-72,86,-2,-26,-416,287
2026-07-20,1907,-518,-1330,-573,-42,-379,-7,-22,-307,-59
2026-07-21,1474,-1360,-129,-115,29,123,0,-43,-123,14
2026-07-22,2636,-815,-1914,-1644,-21,-524,-1,-33,308,93
2026-07-23,-2373,1675,643,1416,-39,-630,0,-4,-100,55
2026-07-24,4881,-1315,-3580,-1523,-167,-1015,-5,-71,-799,14
2026-07-27,-1550,-1422,2731,2124,20,438,0,-22,172,241
2026-07-28,480,860,-1345,99,-82,-1078,2,-6,-280,5
2026-07-29,-4579,3082,1474,1952,-36,-7,-3,-21,-411,23
2026-07-30,-1108,2483,-1435,-456,-68,-452,-3,-17,-439,60
2026-07-31,-4715,1697,2985,678,69,1495,0,4,738,33
2026-08-03,302,-2092,1669,136,78,1309,12,-3,138,121
2026-08-04,-2587,-2775,5438,3332,109,1531,2,4,460,-76
2026-08-05,3941,-2979,-1101,-1645,35,628,4,-38,-84,138
2026-08-06,863,-2481,1615,1323,32,244,1,-26,40,4
2026-08-07,3402,-2522,-1044,-1433,44,353,1,-3,-6,165
2026-08-10,-6729,1027,5667,2988,173,1690,13,-20,823,35
2026-08-11,4351,-3562,-954,-1377,28,351,-9,-7,59,165
2026-08-12,3127,-1623,-1459,-517,-49,-684,1,-21,-188,-46
2026-08-13,2565,-1362,-1132,142,-99,-939,-5,-39,-193,-71
2026-08-14,3145,-659,-2524,-2123,-103,-216,0,-1,-82,38
2026-08-18,3905,366,-4176,-3481,-102,-328,-1,-68,-195,-95
2026-08-19,-664,147,500,501,32,16,1,-14,-37,17
2026-08-20,16,-1328,1194,760,53,239,-120,-17,279,118
2026-08-21,6236,-2837,-3462,-1297,-63,-1597,-32,-17,-456,63
2026-08-24,-2604,2416,249,178,22,78,-80,-141,193,-61
2026-08-25,-1375,1327,156,138,0,73,-37,-3,-16,-109
2026-08-26,1931,-918,-1054,-1176,2,-8,-40,6,161,41
2026-08-27,-1752,2955,-1192,618,35,187,-49,-2110,127,-11
2026-08-28,979,-942,-30,-189,38,85,-3,-2,41,-7
2026-08-31,2530,-552,-2005,-1857,10,144,-10,2,-294,26
2026-09-01,4389,-1531,-2787,-2265,-20,-286,-15,-1,-200,-71
2026-09-02,1727,618,-2322,-1522,26,-884,0,9,50,-24
2026-09-03,2952,-1077,-1847,-1007,-21,-586,-9,-5,-218,-29
